dataset,sample,pair_id,Tissue,module_score,gastric_lineage_deconv_score,broad_epithelial_deconv_score
GSE29272,GSM723488,TYB0013,Normal,0.729152404264147,0.775308563739902,0.702375713720455
GSE29272,GSM723489,TYB0013,Tumor,-0.554711866189806,-0.244966555273015,0.588856735904947
GSE29272,GSM723490,TYB0014,Normal,0.117812161768535,-0.671703832171074,-2.11128581019599
GSE29272,GSM723491,TYB0014,Tumor,-0.140692444264357,0.56894034625676,0.401432150877261
GSE29272,GSM723492,TYB0015,Normal,1.15461927078395,0.138501314489446,-0.54053165617232
GSE29272,GSM723493,TYB0015,Tumor,-0.564395360565241,-0.0320140928183515,1.3137081537084
GSE29272,GSM723494,TYB0016,Normal,1.20809844953915,0.463227337432699,0.446937106125372
GSE29272,GSM723495,TYB0016,Tumor,-0.358740355808169,0.844303702822914,0.515978860936358
GSE29272,GSM723496,TYB0017,Normal,1.43199847216779,0.405686126691686,-0.0455427996609813
GSE29272,GSM723497,TYB0017,Tumor,0.0848595672656688,0.683142657162306,0.913689821733788
GSE29272,GSM723498,TYB0018,Normal,0.452795099204892,1.27496177910382,1.38140983763448
GSE29272,GSM723499,TYB0018,Tumor,-0.595924147786702,0.0406703351689096,1.00763741917513
GSE29272,GSM723500,TYB0019,Normal,0.810467687994,-0.0366708940318373,-0.885925511108241
GSE29272,GSM723501,TYB0019,Tumor,-0.697848599046641,0.01886019910111,0.00897175799676101
GSE29272,GSM723502,TYB0020,Normal,1.32982424424475,0.260860221632791,-0.231664524477114
GSE29272,GSM723503,TYB0020,Tumor,-0.173246894636384,-0.0558043324210618,0.566581847097083
GSE29272,GSM723504,TYB0021,Normal,1.46182190469996,0.797078548364731,0.302755246152794
GSE29272,GSM723505,TYB0021,Tumor,-0.0940670263605229,0.750325634883351,0.851381016263174
GSE29272,GSM723506,TYB0022,Normal,1.05171435707951,0.578981553265438,0.35181398217302
GSE29272,GSM723507,TYB0022,Tumor,-0.149692755283313,0.222357109237355,0.579202717929106
GSE29272,GSM723508,TYB0023,Normal,1.1430791822453,0.323230661392132,-0.971663293388032
GSE29272,GSM723509,TYB0023,Tumor,-0.490267052327993,-0.134361570170404,0.89264584673286
GSE29272,GSM723510,TYB0024,Normal,1.07310169858123,0.535963359189033,0.322502470726482
GSE29272,GSM723511,TYB0024,Tumor,-0.486279979846087,0.0119927940420779,1.32751514338507
GSE29272,GSM723512,TYB0025,Normal,0.73030240591588,0.56155183176427,1.13720762300529
GSE29272,GSM723513,TYB0025,Tumor,-0.457332719904404,0.464922054718329,0.949038286183111
GSE29272,GSM723514,TYB0026,Normal,1.13317941701088,0.4567716704257,0.491047464241312
GSE29272,GSM723515,TYB0026,Tumor,-0.709397715132076,-0.0887521001823281,-0.701200213027838
GSE29272,GSM723516,TYB0027,Normal,1.13532713827408,0.587406019772715,-0.286081051690293
GSE29272,GSM723517,TYB0027,Tumor,-0.517676295865653,-0.137768206882955,-0.111806824218813
GSE29272,GSM723518,TYB0028,Normal,1.17866814910735,0.646368413183621,0.297716082072482
GSE29272,GSM723519,TYB0028,Tumor,-0.888481229268328,-0.890935353681517,-3.02358207892729
GSE29272,GSM723520,TYB0029,Normal,1.00682029105006,0.71222676231938,0.93898150252526
GSE29272,GSM723521,TYB0029,Tumor,-0.777065318601102,-1.29556433651984,-2.60216105212479
GSE29272,GSM723522,TYB0030,Normal,1.13817182211725,0.16262468189763,-0.544567090854815
GSE29272,GSM723523,TYB0030,Tumor,-0.55191156477,-0.0413548880360594,-0.224822751623334
GSE29272,GSM723524,TYB0031,Normal,1.08116251178219,0.368437029720712,0.728976713206681
GSE29272,GSM723525,TYB0031,Tumor,-0.162965260235711,0.812420965503442,0.205996426702361
GSE29272,GSM723526,TYB0032,Normal,0.823031733100374,3.32474028944711,1.14573389541271
GSE29272,GSM723527,TYB0032,Tumor,-0.503278442064545,0.203601062772056,1.4364237561473
GSE29272,GSM723528,TYB0033,Normal,0.753449327758125,0.464229793777683,0.62115479683712
GSE29272,GSM723529,TYB0033,Tumor,-0.77286255228089,-0.482552503645476,1.31556140116171
GSE29272,GSM723530,TYB0034,Normal,1.10173399672202,0.54233439831891,0.414155173122744
GSE29272,GSM723531,TYB0034,Tumor,-0.313333448010546,-0.00631398003228108,0.496445014811375
GSE29272,GSM723532,TYB0035,Normal,1.20794042998883,0.638607432600274,0.559170364499248
GSE29272,GSM723533,TYB0035,Tumor,-0.394717546074819,0.32578361254803,0.712368154816036
GSE29272,GSM723534,TYB0036,Normal,1.18155942792827,0.689990572657585,0.452800900717835
GSE29272,GSM723535,TYB0036,Tumor,-0.234040062386808,0.130519675470844,0.818503348221034
GSE29272,GSM723536,TYB0037,Normal,1.24921316810537,0.600836277419851,-0.226347277387955
GSE29272,GSM723537,TYB0037,Tumor,-0.735960922105661,-0.390914766679349,1.16016686747001
GSE29272,GSM723538,TYB0038,Normal,0.701477821192915,1.07287830649308,1.10598642047873
GSE29272,GSM723539,TYB0038,Tumor,-0.229582214740863,1.04969259480812,0.674991228657751
GSE29272,GSM723540,TYB0039,Normal,1.35974845721298,0.91979137946703,-0.0778561665397642
GSE29272,GSM723541,TYB0039,Tumor,-0.66488786548696,0.0420418972163754,0.659645189240129
GSE29272,GSM723542,TYB0040,Normal,1.0412281154457,0.616313957705446,0.866536319007768
GSE29272,GSM723543,TYB0040,Tumor,-0.679064845769647,0.208901653340118,1.73378469269004
GSE29272,GSM723544,TYB0041,Normal,0.797620352218668,1.16172903194669,0.715689142737641
GSE29272,GSM723545,TYB0041,Tumor,-0.617538675863147,-0.0524164348908818,1.54992584766326
GSE29272,GSM723546,TYB0042,Normal,0.797212795879877,0.923778216131455,0.455958870672102
GSE29272,GSM723547,TYB0042,Tumor,-0.395376294440229,0.361547419769301,0.890639961720011
GSE29272,GSM723548,TYB0043,Normal,0.0767024613169038,2.53963043138785,1.27771293315162
GSE29272,GSM723549,TYB0043,Tumor,-0.40036160918005,-0.169354749491992,1.17878487531506
GSE29272,GSM723550,TYB0044,Normal,1.24755804074457,0.635158715086967,0.28297268131225
GSE29272,GSM723551,TYB0044,Tumor,-0.464172094429759,0.329480461420767,1.36004908759085
GSE29272,GSM723552,TYB0045,Normal,0.687275519927923,3.62739568686188,1.41135865967836
GSE29272,GSM723553,TYB0045,Tumor,-0.311578381733474,0.728092042349342,1.42582686917551
GSE29272,GSM723554,TYB0046,Normal,0.577211748549931,0.797321905948257,1.04706424625343
GSE29272,GSM723555,TYB0046,Tumor,-0.471822907454925,0.421898524501755,-0.267381693494029
GSE29272,GSM723556,TYB0047,Normal,0.663599726441615,1.15694044627513,1.16542940833181
GSE29272,GSM723557,TYB0047,Tumor,-0.742151065281711,-0.96200351659117,-2.32772014361314
GSE29272,GSM723558,TYB0048,Normal,1.21628411072403,0.883183932032391,-0.147954997057637
GSE29272,GSM723559,TYB0048,Tumor,-0.607753251892118,-0.0880539814912342,0.0129744085931414
GSE29272,GSM723560,TYB0049,Normal,1.332474885417,0.841462409758902,-0.352478132303852
GSE29272,GSM723561,TYB0049,Tumor,-0.634201906105367,0.11852427334023,0.619925138507315
GSE29272,GSM723562,TYB0050,Normal,1.28081048216543,0.489325805288286,-0.293091870035215
GSE29272,GSM723563,TYB0050,Tumor,-0.547930123586165,0.0402372551964506,-1.08712367962844
GSE29272,GSM723564,TYB0051,Normal,1.03659765453962,-0.283504388885221,-1.16539412713363
GSE29272,GSM723565,TYB0051,Tumor,-0.632018046911859,0.242167544555692,1.246957682507
GSE29272,GSM723566,TYB0052,Normal,0.772675489600359,2.57360878664849,1.05208371449231
GSE29272,GSM723567,TYB0052,Tumor,-0.467993966247478,0.290259084659884,1.12506809502474
GSE29272,GSM723568,TYB0053,Normal,1.36010441593106,1.62191301432018,0.74679808859231
