Patient,Sample,Tissue,Type,n_cells,module_score,module_score_median
P190118,190118T,Tumor,Myeloid,280,-0.0768612910557383,-0.102069794530836
P190123,190123N,Normal,Myeloid,194,-0.108411136286745,-0.148617177539994
P190123,190123T,Tumor,Myeloid,96,-0.0586103602355475,-0.0878629559968766
P190124,190124N,Normal,Myeloid,112,-0.0445060342906362,-0.0591801959762491
P190124,190124T,Tumor,Myeloid,222,-0.0723799478752538,-0.0884610278850214
P190125,190125T,Tumor,Myeloid,35,-0.00328203559321628,-0.0476918234439291
P171012,171012T,Tumor,Mural,62,0.0138851261892622,0.0029630272867258
P171012,171012T,Tumor,Fibroblast,81,-0.0333917724000454,-0.0253495771478238
P171218,171218N,Normal,Fibroblast,96,0.0263196426552418,0.0103811701754845
P171218,171218T,Tumor,Fibroblast,118,-0.0583095544589615,-0.0837527961475406
P171218,171218T,Tumor,Mural,23,-0.0211049099755674,-0.0343613694644328
P180118,180118T,Tumor,Fibroblast,1024,-0.0611244789934223,-0.0967221992145437
P180118,180118T,Tumor,Mural,123,0.0558948518805591,0.05678598282954
P180124,180124N,Normal,Fibroblast,44,0.0348218566947651,0.00828315969051652
P180124,180124T,Tumor,Fibroblast,33,-0.034173587116948,-0.0474806476351794
P180129,180129N,Normal,Fibroblast,44,0.129585943220641,0.123005518448071
P180129,180129T,Tumor,Fibroblast,32,0.0624457838428849,0.0259102001339343
P180308,180308N,Normal,Fibroblast,97,0.0343316044010233,0.00830016003321384
P180308,180308T,Tumor,Mural,556,0.0387651772584765,0.0281038450066195
P180308,180308T,Tumor,Fibroblast,251,-0.0165581154592848,-0.0330611900706558
P180605,180605T,Tumor,Fibroblast,72,-0.110080717378622,-0.126082758832758
P180608,180608N,Normal,Fibroblast,125,0.0240616981581143,0.00949044855465987
P180611,180611N,Normal,Fibroblast,47,0.0531560580480262,-0.0247530377307941
P180611,180611T,Tumor,Mural,705,0.0671585258275722,0.0633088027818124
P180611,180611T,Tumor,Fibroblast,715,-0.0431113455373367,-0.0605543065270508
P180611,180611T,Tumor,Glial,26,0.0741210453629669,0.061692236770131
P181019,181019N,Normal,Fibroblast,5895,-0.052401095761594,-0.0704156587816314
P181019,181019N,Normal,Mural,981,0.0786541298587068,0.0649329273886931
P181019,181019N,Normal,Glial,302,0.0521702187487459,0.039649158601697
P181025,181025N,Normal,Fibroblast,1199,0.0313858848430231,0.0149767498027414
P181026,181026N,Normal,Fibroblast,20,-0.00916583817503269,-0.0164740230227525
P181026,181026T,Tumor,Fibroblast,20,-0.0133031391520707,-0.0328036535540615
P181217,181217N,Normal,Fibroblast,45,0.0472051905977619,0.0228480207660791
P181217,181217T,Tumor,Mural,30,0.14247229641162,0.112917700604845
P181217,181217T,Tumor,Fibroblast,28,0.0763590722370978,0.059726865950512
P181227,181227N,Normal,Fibroblast,1515,0.0242395242921116,0.0052807350814573
P181227,181227N,Normal,Mural,48,0.120515889097817,0.107280712459665
P181227,181227T,Tumor,Mural,59,0.063480894250724,0.0302732812990957
P181227,181227T,Tumor,Fibroblast,159,0.0413754038773041,0.00375759206117611
P190103,190103N,Normal,Fibroblast,562,-0.020542401105542,-0.0415692061557957
P190103,190103N,Normal,Mural,25,0.142219855090704,0.141991850085367
P190103,190103T,Tumor,Mural,51,-0.0198570461941837,-0.0554689476498855
P190103,190103T,Tumor,Fibroblast,112,-0.050236310826155,-0.0782948729927619
P190118,190118N,Normal,Fibroblast,598,0.154633342454231,0.121297162318431
P190118,190118T,Tumor,Fibroblast,32,0.0807975821951176,0.0521244389393574
P190118,190118T,Tumor,Mural,26,0.239149659682651,0.239973219695168
P190123,190123T,Tumor,Fibroblast,199,0.11807312711186,0.102749305042899
P190123,190123T,Tumor,Mural,23,0.120997787031879,0.0390862210894581
P190124,190124N,Normal,Fibroblast,144,0.153600324378032,0.111713890002112
P190124,190124T,Tumor,Fibroblast,137,0.100756143025129,0.0551584079046089
P190124,190124T,Tumor,Mural,24,0.211297704904927,0.157350825719493
P171012,171012T,Tumor,Endothelial,144,-0.0908110060635384,-0.104539756764813
P171218,171218T,Tumor,Endothelial,42,-0.0502448786238518,-0.0826219103541655
P180116,180116T,Tumor,Endothelial,37,-0.043028480304037,-0.061553502115597
P180118,180118T,Tumor,Endothelial,141,-0.10082672171333,-0.127761283578258
P180124,180124T,Tumor,Endothelial,50,-0.0517316921854581,-0.0584092520338157
P180129,180129N,Normal,Endothelial,57,0.126663612886129,0.10435869399134
P180129,180129T,Tumor,Endothelial,43,0.065922288363969,0.0199135017473437
P180308,180308N,Normal,Endothelial,28,0.0255911092069877,0.0320644151270032
