gene,log2FoldChange,padj,status
SERPINE1,1.00066413309328,1,Not significant
MAD2L1,1.00030689816418,1,Not significant
CKS1B,1.00016226114925,1,Not significant
RFTN1,0.999963034350746,1,Not significant
TRIP13,0.999052037708955,1,Not significant
GSTA4,-0.998128296917911,1,Not significant
TMEM158,0.997795059634328,1,Not significant
GPX3,-0.997200072205224,1,Not significant
LAPTM5,0.995287299847014,1,Not significant
SERPINA5,-0.991426752828358,1,Not significant
PRKACB,-0.987515137645523,1,Not significant
ASS1,0.987466769216418,1,Not significant
CD55,0.984770518861941,1,Not significant
SIDT2,-0.984247738496269,1,Not significant
SCRG1,0.977090061291045,1,Not significant
VASH1,0.975353449843283,1,Not significant
IGFBP4,0.970546800529851,1,Not significant
LOXL1,0.969782821238807,1,Not significant
IQGAP2,-0.96897992841791,1,Not significant
GALNT6,-0.966800014014926,1,Not significant
AHNAK2,0.966570981910448,1,Not significant
EPN3,-0.966438456186567,1,Not significant
RRM2,0.964132696791045,1,Not significant
ITGB2,0.960761930873134,1,Not significant
DCXR,-0.958746561835821,1,Not significant
VIL1,0.956975822246269,1,Not significant
RCN1,0.956014413238806,1,Not significant
GBP1,0.954723671641791,1,Not significant
MMP9,0.952297002059701,1,Not significant
IFITM1,0.946902509141791,1,Not significant
CORO1C,0.946434514246268,1,Not significant
PUS7,0.946065259335821,1,Not significant
BCAS1,-0.944783570074627,1,Not significant
CNIH4,0.944763207492537,1,Not significant
MCM3,0.943983550895522,1,Not significant
SLC16A7,-0.943635447152985,1,Not significant
CDK1,0.943179492019901,1,Not significant
RAB27A,-0.941101685725747,1,Not significant
LHFP,0.940750154932836,1,Not significant
CCNE1,0.938246310492537,1,Not significant
CYB5R1,-0.937946960947761,1,Not significant
FGG,-0.935563708641791,1,Not significant
IGFBP7,0.935393945587065,1,Not significant
LBH,0.935068086276119,1,Not significant
ZWINT,0.932119754947762,1,Not significant
PRSS8,-0.931474923828358,1,Not significant
SUCLG2,-0.930992209395519,1,Not significant
AGR2,-0.928867253007463,1,Not significant
EPB41L4B,-0.928004894250001,1,Not significant
ARHGEF28,-0.92744616677612,1,Not significant
ACAT1,-0.926475445179105,1,Not significant
CPVL,0.926425903059702,1,Not significant
KCNQ1,-0.924666664186567,1,Not significant
PLAU,0.924276932817164,1,Not significant
FOXM1,0.923635940962687,1,Not significant
COL4A5,-0.921243825014925,1,Not significant
TMEM45A,0.921154274485075,1,Not significant
SCNN1B,-0.918790481328358,1,Not significant
TTK,0.918675221753731,1,Not significant
SNRPG,0.918654048253731,1,Not significant
S100A11,0.917693033895522,1,Not significant
PPFIBP2,-0.916842795716418,1,Not significant
TUBB3,0.91484309011194,1,Not significant
MCM2,0.914735832574627,1,Not significant
LXN,0.913211527485075,1,Not significant
CCNB1,0.912895256313433,1,Not significant
GEM,0.912650669402985,1,Not significant
MICALL1,-0.912640434597015,1,Not significant
PLBD1,0.905536236074627,1,Not significant
CBS,-0.902622934313433,1,Not significant
NME1,0.902221351932836,1,Not significant
ATP1B3,0.901410155253731,1,Not significant
DHCR24,-0.900744634985075,1,Not significant
TGIF1,0.900191613932836,1,Not significant
MUC1,-0.896817659467667,1,Not significant
ZYX,0.896620772485074,1,Not significant
CBX3,0.896521989891791,1,Not significant
PLSCR1,0.896216236570896,1,Not significant
OXCT1,-0.89596728622388,1,Not significant
RACGAP1,0.89334110561194,1,Not significant
CRIP1,0.893010338283582,1,Not significant
SNRPB,0.892989888645522,1,Not significant
SLC20A1,0.891895906335821,1,Not significant
MAD1L1,0.888545970559702,1,Not significant
PLAC8,-0.888497292529851,1,Not significant
SMS,0.887224766746269,1,Not significant
C1QA,0.887004666455224,1,Not significant
C1R,0.886839173634329,1,Not significant
NEDD4L,-0.886112952731343,1,Not significant
FCGR2A,0.885971283216419,1,Not significant
CKAP2,0.885714790955224,1,Not significant
MS4A4A,0.884847594537313,1,Not significant
NR0B2,-0.883998699970149,1,Not significant
AGT,0.883216660738806,1,Not significant
TPX2,0.882319092238806,1,Not significant
PROS1,0.88131547088806,1,Not significant
CXCL10,0.880872167977612,1,Not significant
ABHD11,0.880322417283582,1,Not significant
NMU,0.880314505873136,1,Not significant
IFITM3,0.880213380597015,1,Not significant
RNASE4,-0.880191949272389,1,Not significant
FAM13A,-0.880035025917911,1,Not significant
PFKP,0.879818730708955,1,Not significant
IFITM2,0.879309097679105,1,Not significant
CENPU,0.877646464529851,1,Not significant
SORBS2,-0.877210090402985,1,Not significant
DEPTOR,-0.877099460514925,1,Not significant
GUCY1A3,0.876076450052239,1,Not significant
FAM149A,-0.875922310465174,1,Not significant
MUC13,0.873795806985075,1,Not significant
GSTA1,-0.873746111701493,1,Not significant
UBL3,-0.873659779175373,1,Not significant
SERPINF1,0.871403871395522,1,Not significant
TUBB6,0.870666892977612,1,Not significant
TPD52L2,0.870200325350746,1,Not significant
C1orf116,-0.868890152914179,1,Not significant
CXADR,-0.868400162753732,1,Not significant
RAB26,-0.868080278955224,1,Not significant
MGP,0.867080364007462,1,Not significant
RHOBTB1,-0.866215797291045,1,Not significant
GOT1,-0.863976730380598,1,Not significant
RCAN2,-0.863239178649253,1,Not significant
PIEZO1,0.862823822798508,1,Not significant
KRT7,0.862513332876865,1,Not significant
PFDN2,0.861366523708956,1,Not significant
EMILIN1,0.860924198462686,1,Not significant
TUBA1A,0.860668391947761,1,Not significant
CEBPB,0.86030842730597,1,Not significant
DMBT1,0.86001883969403,1,Not significant
HOPX,0.859554193126865,1,Not significant
MCM7,0.859176570611941,1,Not significant
ID1,-0.857281419753732,1,Not significant
DSE,0.857205926694029,1,Not significant
MELK,0.856579931619403,1,Not significant
CCNB2,0.856086029977612,1,Not significant
NUCB2,-0.855329164731344,1,Not significant
STIL,0.854781512843284,1,Not significant
CTSL,0.854635509126866,1,Not significant
FAM107A,-0.853709775496269,1,Not significant
TNFRSF17,-0.852569195462686,1,Not significant
TMEM185B,0.850799348940299,1,Not significant
TNFAIP6,0.849719059179104,1,Not significant
EZH2,0.848918537977612,1,Not significant
FAM46C,-0.848582472253731,1,Not significant
CPNE1,0.847883026201492,1,Not significant
MAOA,-0.846794417348259,1,Not significant
BAG2,0.846689804671642,1,Not significant
TUBB4B,0.846280877473881,1,Not significant
RNF128,-0.844290592567164,1,Not significant
APOC1,0.843320521470149,1,Not significant
ABCA8,-0.842871981126865,1,Not significant
TYMP,0.842351878660448,1,Not significant
TRIP6,0.838222196738806,1,Not significant
SERPINA4,-0.833971227365672,1,Not significant
NUP85,0.833714189649254,1,Not significant
IFI44L,0.833653641522388,1,Not significant
APOBEC2,-0.830936415574626,1,Not significant
MS4A6A,0.830616654708956,1,Not significant
GPR137B,0.830453406828359,1,Not significant
PDIA2,-0.82931730052985,1,Not significant
PYCARD,0.828333761843284,1,Not significant
SNX10,0.828008107171642,1,Not significant
COL6A2,0.82721692475,1,Not significant
COMP,0.826804404813433,1,Not significant
IFI6,0.826312198514926,1,Not significant
MCUR1,0.825034301208955,1,Not significant
IGFALS,-0.823574156850746,1,Not significant
IRAK1,0.82301989488806,1,Not significant
ANG,-0.821997793462687,1,Not significant
METTL7A,-0.821171418298508,1,Not significant
LPCAT1,0.819345160238806,1,Not significant
S100A6,0.819291009373135,1,Not significant
ACTN1,0.81903891641045,1,Not significant
DRD5,-0.817949425768657,1,Not significant
SNRPD1,0.817600338902985,1,Not significant
MMP2,0.817371471746268,1,Not significant
TUBA1B,0.817319776895523,1,Not significant
LMNB1,0.816975438343284,1,Not significant
STX12,-0.816652426548508,1,Not significant
GGH,0.81370549891791,1,Not significant
GGCT,0.813341493313433,1,Not significant
RFC3,0.812581826955224,1,Not significant
LTBP3,0.812106108313433,1,Not significant
HSD17B11,0.810665618574627,1,Not significant
LBR,0.810658611149254,1,Not significant
IFI16,0.810383908308457,1,Not significant
BCAP31,0.809337423798507,1,Not significant
RAB17,-0.80920814958209,1,Not significant
PVRL3,-0.808515180171642,1,Not significant
DNASE1,-0.80845908930597,1,Not significant
CITED2,-0.807878888970149,1,Not significant
SLC25A32,0.806978392343284,1,Not significant
MPC1,-0.806863436500001,1,Not significant
FBP1,-0.806130998604478,1,Not significant
CTSA,0.806060165798508,1,Not significant
DLGAP5,0.805116670343284,1,Not significant
C1S,0.803238202925373,1,Not significant
PODXL,0.803008881470149,1,Not significant
HADH,-0.802881423713931,1,Not significant
FXYD5,0.80237819191791,1,Not significant
GCH1,0.79986256211194,1,Not significant
CTSC,0.799355424716418,1,Not significant
TAF1D,0.798938583350746,1,Not significant
SSB,0.79887373038806,1,Not significant
KIT,-0.798431507820896,1,Not significant
C1orf54,0.797452138544776,1,Not significant
GPX1,0.797129412350746,1,Not significant
UPP1,0.795222117216418,1,Not significant
MMP1,0.794536703940299,1,Not significant
CXCL1,0.792399777649254,1,Not significant
RAP1GAP,-0.791018285283582,1,Not significant
RBM47,-0.790272376141791,1,Not significant
MYLK,0.790242080850746,1,Not significant
AMIGO2,0.789405242537313,1,Not significant
MTMR11,0.788133836723881,1,Not significant
FKBP1B,-0.788074806970149,1,Not significant
GNMT,-0.787855821186567,1,Not significant
NUSAP1,0.787493772085821,1,Not significant
CAPG,0.786919031134328,1,Not significant
TMEM176B,0.786335515708955,1,Not significant
ANP32E,0.78322176711194,1,Not significant
KRT6B,0.782307635186567,1,Not significant
JUN,-0.782138753369403,1,Not significant
TOM1L1,-0.780447893589552,1,Not significant
FSCN1,0.780401001231343,1,Not significant
TMEM176A,0.780281995925373,1,Not significant
CCT6A,0.779925606108209,1,Not significant
MMP11,0.778368028335821,1,Not significant
CDH3,0.777544549238806,1,Not significant
DDAH2,0.776590458796019,1,Not significant
FLNA,0.776394633139303,1,Not significant
C1orf115,-0.776172173276119,1,Not significant
DNMT1,0.7759908525,1,Not significant
LRRC31,-0.775241512350746,1,Not significant
PTTG1,0.774912752350746,1,Not significant
COL15A1,0.774813707843283,1,Not significant
PRR15L,-0.773611028813432,1,Not significant
LDHA,0.773599814514926,1,Not significant
CYP2C9,-0.771723133130064,1,Not significant
TMSB10,0.771540825447762,1,Not significant
MYL9,0.770934474664179,1,Not significant
FAM174B,-0.770818613600746,1,Not significant
NEK2,0.770645836958955,1,Not significant
NMRK1,-0.770243648238806,1,Not significant
TUBA1C,0.7702367125,1,Not significant
COL16A1,0.769272370858209,1,Not significant
NMI,0.768066678917911,1,Not significant
RAB11FIP2,-0.766058028488807,1,Not significant
HOXA10,0.765785223395523,1,Not significant
IDH2,-0.763783562238806,1,Not significant
BHLHE41,0.76310266044776,1,Not significant
SAMSN1,0.763093869313433,1,Not significant
IL1R2,-0.761888751097015,1,Not significant
SLC39A6,0.761706525675373,1,Not significant
TDG,0.761132618514925,1,Not significant
UPF3B,0.759515297335821,1,Not significant
LY75,0.75893900088806,1,Not significant
DPYSL2,0.75766377516418,1,Not significant
PLOD3,0.75667111180597,1,Not significant
UBA1,0.756157408492538,1,Not significant
TPM4,0.755752958727612,1,Not significant
TCFL5,0.755694426470149,1,Not significant
FOS,-0.753281327641791,1,Not significant
CYFIP2,-0.752841982634328,1,Not significant
TIE1,0.752330767343284,1,Not significant
FOXA1,-0.751969958843284,1,Not significant
TBCB,0.750542672661691,1,Not significant
CHI3L1,0.749059844860697,1,Not significant
IGF1,0.748416730994403,1,Not significant
GALNT12,-0.74692450030597,1,Not significant
DACT1,0.746795649186567,1,Not significant
