"relative_path","size_bytes","sha256"
"source_data/Figure6cd_source_data.csv","45","c98385e7869871f2f04cc15f455d2a7e7daef20bb61e703f2673514574b3710a"
"source_data/Supplementary_lineage_tests.csv","176","291468fc5a04d95c61c7f5c10b7d9840b1fc8a3f271e97718e9714ad4d9ca988"
"supplementary_tables/bulk_deconvolution_adjustment_summary.csv","777","692c4639ede5207da8a9da1b13b3a687e972cada7d0a2d1143f00614a3770a12"
"supplementary_tables/bulk_lineage_marker_panel.csv","466","26ee7da507f3220a60caff52a511ceb65439b9e913f0068e0048a04127774c23"
"supplementary_tables/download_log.tsv","704","9782c82698d3923829c512bfc530e0c844478e7a8d9882e08237cf8f29dfc6b3"
"supplementary_tables/download_log.txt","4011","66c5a7b55576039cdba1c30c25766c6be850d8c8e356ebab67e72469af2f1030"
"supplementary_tables/epithelial_lineage_paired_tests.csv","176","291468fc5a04d95c61c7f5c10b7d9840b1fc8a3f271e97718e9714ad4d9ca988"
"supplementary_tables/external_bulk_validation_summary.csv","634","6710859e233c16b5a1f308a185a520b0c90f43f430c7f91e699aaab0f3e08787"
"supplementary_tables/GSE270678_section_manifest.csv","12854","85d2180511f1de996f7f1293672a21b625092d48a0c4cc2ded6fea2e4eadf633"
"supplementary_tables/GSE270678_signature_gene_coverage.csv","33828","69d7411454f191a7a7867dcaca7b3609095fbcab8b5d862efb2c393ce5756d57"
"supplementary_tables/GSE270678_spatial_concordance_tests.csv","1447","8d93b220b2eb63ccf2af0793a0980211fb55148b3c21c2564616392535121715"
"supplementary_tables/GSE270680_epithelial_lineage_paired_tests.csv","317","6c2221f8d57ebfe5e65c0dcc6502526724d62df84b6191bebfd5bfa9b9fb00a2"
"supplementary_tables/GSE270680_GSE270678_download_log.tsv","1190","dd05bd5b7fb06de9629ab88a569b9aec5662f90eb21b6915787cb0663d2a680e"
"supplementary_tables/GSE270680_singlecell_replication_summary.csv","615","84191725785809ecaa96f2a349fa0eb8095f6786eee0ea2e8d240b86a4eb4ca3"
"supplementary_tables/GSE29272_candidate_genes.csv","27271","e46dbbe0c7189155342b28b9fbd5819219a1f77f0deb52f799522b4b594a583c"
"supplementary_tables/GSE29272_DEG_all.csv","1608512","bf00ab6d442e7cf764a301ee4130b29472d42c2544c2d24fb1341f48f563f1aa"
"supplementary_tables/GSE29272_GSEA_result.csv","19037","a9ee4f1b15d12a559ebb439d9745d87125a807b81220a0c157cb2635d0ddc1c3"
"supplementary_tables/singlecell_analysis_summary.csv","578","09e061a1b9b0fc2ccd9dab228c4febc9dda62881e827757ee277d8ca3351fd22"
"supplementary_tables/singlecell_clinical_stratified_effects.csv","2227","289499061452ea95dfd0b480e87e8b19080b57333e402655d389adfbf959a728"
"supplementary_tables/singlecell_cohort_characteristics.csv","646","06dc6b121499339c3a51657161e7a46b5a7ecf782a26d6b2e4417652dc724f53"
"supplementary_tables/singlecell_cohort_comparison_tests.csv","729","a20d1157d7ef6a440ba9eb281f6cf1804f724223217247c1116cd095d71644e4"
"supplementary_tables/singlecell_cross_cohort_standardized_effects.csv","601","b101e2f5aca63f2905580925307b1f508caca44dd6b6f9a70c8e3485e3d5b1fc"
"supplementary_tables/singlecell_eligible_patient_clinical_metadata.csv","4962","0ac30bbc6f13f478675a41ccd0b494954d49655379762459bd921317124be676"
