gene,log2FoldChange,meanExpression,t,PValue,padj,standard_t,standard_PValue,standard_padj,B,direction
ADH1C,-1.67728206825373,7.33408439891045,-5.45245625433497,1.11910567011789e-07,1.63529778260316e-05,-13.502951771503,5.7007706232059e-27,8.23258345880616e-26,50.6139193022477,Down
RARRES1,1.55167702534328,7.19830192889304,5.45045804345758,1.1294893034893e-07,1.63529778260316e-05,15.3302568987136,1.52875400657719e-31,4.54321552533586e-30,61.1021419386284,Up
IGFBP2,-1.54483117503731,10.0751759216306,-5.42980017410848,1.24250517389397e-07,1.77615328212463e-05,-15.3958234541394,1.05376531462008e-31,3.19897088656036e-30,61.4729003652146,Down
GPRC5C,-1.38828834923881,8.53730122481343,-5.42225894815544,1.28645389911901e-07,1.81599048534387e-05,-19.386775160875,3.84930167797654e-41,6.39267115432192e-39,83.1184351521379,Down
CTSE,-1.93839493347761,10.4710135627985,-5.28015517364266,2.46441623782933e-07,3.43588303380328e-05,-10.9069493785888,2.45719101164628e-20,1.47679925995324e-19,35.4057400351682,Down
IGJ,-1.8493887788806,10.279727201403,-5.20226449418558,3.50145812428474e-07,4.82219104848141e-05,-11.3269798466083,2.05523372266e-21,1.38317964421927e-20,37.8738083808268,Down
CLDN4,1.46628006816418,7.8150141235597,5.16500934782107,4.13818795000486e-07,5.63042849631384e-05,16.2420630339384,9.00750038495323e-34,4.00582802737954e-32,66.2178944867871,Up
RAB31,1.49003011590796,8.70550092433706,5.09273357326659,5.71041339598796e-07,7.67710696201096e-05,15.4854286504466,6.34177281678629e-32,2.01739832168923e-30,61.9788879752417,Up
TCN1,-1.94633967332836,9.37286786309702,-5.04629452847495,7.02065727847098e-07,9.32626473796104e-05,-10.3787292458389,5.52979084243036e-19,2.82953910210993e-18,32.3102058138274,Down
CLDN7,1.51134141470896,9.00785168557089,5.04341771820704,7.10226483188391e-07,9.32626473796104e-05,14.906529864282,1.71032377856964e-30,4.24498602887626e-29,58.6959288001995,Up
S100A10,1.41927834462687,11.2651297539925,5.02176313696423,7.81288505849438e-07,0.000100262398824519,16.9989215123468,1.36137247267145e-35,8.09156807046246e-34,70.3946019779956,Up
APOE,1.3966011015,8.52006600978483,5.02219008264868,7.79822875461454e-07,0.000100262398824519,17.6852665684528,3.22180256151384e-37,2.56224058642083e-35,74.1239737601065,Up
KIAA1324,-1.4739999729403,7.95582655220896,-5.01422895760322,8.0759676399788e-07,0.000102474047818293,-15.592771666159,3.45534653035018e-32,1.17180865967702e-30,62.5839584846731,Down
UGT2B15,-1.44880942567911,7.38352172647761,-4.89787199292156,1.34153325435371e-06,0.000168332611571294,-15.8109048141696,1.00969335311367e-32,3.83921449047564e-31,63.8098377495999,Down
FMO5,-1.37489878935448,6.98619456947575,-4.88095365078818,1.44336561196835e-06,0.000179120086329215,-17.9003439219397,1.00848548815182e-37,8.82854776565772e-36,75.2808747020167,Down
APLP1,-1.35856003406716,7.66460754310821,-4.77845125797529,2.2407209911198e-06,0.000275048501659955,-18.1052328397737,3.35288165541612e-38,3.23624722518071e-36,76.3776682638756,Down
SERPINH1,1.28237258334328,9.30223297950746,4.72687417809134,2.78942582426132e-06,0.000338720277778313,21.4667223677607,1.01141284793679e-45,3.46117736113643e-43,93.6125148416991,Up
FN1,1.34230489584577,9.33531243702363,4.69611494853512,3.17634834329106e-06,0.000381601083412616,18.4152145159892,6.39921735511159e-39,7.01615161080342e-37,78.0271123120076,Up
XK,-1.40426403950746,7.05600822114925,-4.45542028766828,8.60987272457263e-06,0.00102348729135367,-15.4764853645833,6.67122569204771e-32,2.10441764637695e-30,61.9284231911167,Down
INHBA,1.23718031316791,5.58729392753172,4.41152390480137,1.02883330348787e-05,0.00121027234336339,23.0113977555381,5.69766862087279e-49,3.57465398530647e-46,101.04921627494,Up
TMPRSS2,-1.33974548911567,8.44691085589739,-4.36661154610241,1.2329687836287e-05,0.00143545530654834,-17.2192076393377,4.06900515529362e-36,2.65164928391997e-34,71.5977201794494,Down
KRT20,-1.86227400429851,8.41177382664179,-4.29060026109408,1.67262796414435e-05,0.00192744771419205,-9.26651306804998,3.62370143422153e-16,1.40241467774721e-15,25.8703951669541,Down
ACSM3,-1.33236239025373,6.86122020782463,-4.28597813251656,1.70105027902282e-05,0.00194040008090957,-17.181474910129,5.00208605427789e-36,3.19144394412204e-34,71.3920477536001,Down
