gene,log2FoldChange,meanExpression,t,PValue,padj,standard_t,standard_PValue,standard_padj,B,direction
DUOX2,-1.58579049145523,8.36857754047388,-4.28276336975012,1.72287149697287e-05,0.00194563878153146,-11.5938471654444,4.25477042772061e-22,3.13023598959276e-21,39.4409900474789,Down
COL5A1,1.34812788022637,7.94095550166045,4.25938825964462,1.8898156182839e-05,0.00209250580516345,16.4945136304566,2.20894369019366e-34,1.08932755866188e-32,67.6183187485368,Up
ECI2,-1.29119499981343,8.41469432690672,-4.25936605678277,1.88998133469116e-05,0.00209250580516345,-18.8865610962296,5.27633934128925e-40,7.26654880258286e-38,80.5120774440347,Down
PTPRZ1,-1.30358992460448,5.70268017632463,-4.22871964394461,2.13251442803289e-05,0.00233810538211412,-18.1577709767708,2.5301395179505e-38,2.52857217488629e-36,76.6580723483264,Down
XYLT2,-1.23521488548507,7.48128355398881,-4.22434546338587,2.16947650904447e-05,0.00235575944390762,-22.1838613106681,3.02306282108303e-47,1.42247701827044e-44,97.1025565779906,Down
SERPINE2,1.38289347080597,8.64729396457463,4.16897848567751,2.69378266946415e-05,0.0028972273986913,15.0570682640225,7.23811185858312e-31,1.93696675874358e-29,59.5527706295296,Up
COL2A1,-1.37088075879851,6.24804487800373,-4.06222028500739,4.06647042449587e-05,0.00433232551922943,-15.0151214227402,9.19585424303076e-31,2.39282907757019e-29,59.3142312052221,Down
TOP2A,1.42822089883582,6.34851294285821,4.02043751135055,4.76808388694613e-05,0.00503233376965259,13.4091374143228,9.85583188139408e-27,1.37409764736523e-25,50.0685468521869,Up
HOMER2,-1.27161416896269,7.64506937041418,-3.93472142935826,6.58562481359146e-05,0.0068862463907304,-18.4211579962915,6.19991704150226e-39,6.86428070094951e-37,78.0586207923165,Down
MMP7,1.61673834129105,7.22566986886194,3.92733716076695,6.76987829332094e-05,0.0070139665657315,10.2952518789369,8.92610998125264e-19,4.47216326611739e-18,31.833890656808,Up
PRC1,1.36288839079851,7.26993563701119,3.88173904203924,8.02107567446799e-05,0.00823472796288791,14.5785238950839,1.12190506463481e-29,2.49375803899984e-28,56.8217304111496,Up
NT5DC2,1.29826831281343,7.46849823583209,3.84750756766356,9.10181367903023e-05,0.00926007043939535,16.7469923683509,5.45543776742729e-35,2.91982268756191e-33,69.0116570609519,Up
ALDH6A1,-1.16739648163134,7.18817027708881,-3.75999953442508,0.000125285653992268,0.0126325972369168,-26.2216396942567,2.52255758743803e-55,4.0696061192768e-52,115.568157954081,Down
SERPINB5,1.55223368540299,7.16278805775373,3.74270600548248,0.00013337027519221,0.0133287656437666,10.5201013444707,2.38443012906154e-19,1.27436675094614e-18,33.1459412814157,Up
THBS4,1.45183707205224,8.58296708758582,3.72151827630925,0.000143949895287727,0.014259878662143,11.9579346894339,4.96436634449838e-23,4.11317601822598e-22,41.5792929721364,Up
